,İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI,BİNA KAT SAYISI,BULUNDUĞU KAT,YAPI DURUMU,ISITMA,BİNA YAŞI,AİDAT,KİRA GETİRİSİ
266,GÖZTEPE BAĞDATA YÜRÜME MESAFESİNDE 155M2  2 BALKONLU OTOPARKLI,Göztepe,4.395.000,140,155,3+1,3,1,1,15,4,Giriş Katı,İkinci El,Merkezi Sistem,40 ve üzeri,,
267,Kalamış Deniz ve Marina Manzaralı Teraslı Sıfır Dubleks,Fenerbahçe,16.000.000,200,240,5+2,5,2,3,15,9,9,Sıfır,Kombi (Doğalgaz),3,0,0
268,SUADİYE ÇATALÇEŞME BAĞDAT YAKIN 150M2 2 BALKONLU ASANSÖRLÜ LÜKS,Bostancı,7.995.000,125,150,3+1,3,1,2,14,3,2,İkinci El,Merkezi Sistem,26-30 arası,,
269,CADDEBOSTAN'DA BAĞDATA 2.PARALELDE İNŞATTAN 2+1 DAİRE,Caddebostan,7.600.000,79,106,2+1,2,1,2,,10-20 arası,6,Sıfır,Kombi (Doğalgaz),0,0,0
270,Erenköy'de 4 Yıllık Binada 95 m2 2+1 Mükemmel Satılık Daire,Erenköy,5.150.000,75,95,2+1,2,1,1,22,7,1,,Kombi (Doğalgaz),4,0,0
271,DİNAMİK'TEN MERDİVENKÖY'DE SIFIR METROYA YAKIN 2+1 SATILIK DAİRE,Merdivenköy,3.500.000,65,85,2+1,2,1,2,11,10-20 arası,1,Sıfır,Kombi (Doğalgaz),0,0,0
272,"Kadıköy'de Yatırımlık, İçi Yapılı, Satılık 2+1Daire!",Caferağa,3.950.000,90,110,2+1,2,1,1,27,4,Giriş Katı,,Kombi (Doğalgaz),26-30 arası,0,0
273,FENERBAHÇE DENİZ MANZARALI 4 BALKONLU GENİŞ DAİRE,Fenerbahçe,8.500.000,140,180,3+1,3,1,2,30,10-20 arası,12,İkinci El,Merkezi Sistem,31-35 arası,750,0
274,KADIKÖY BOSTANCI Caddede Satılık BÜYÜK 4+1 Daire Konuta/İşyerine,Bostancı,9.100.000,180,215,4+1,4,1,2,4,10-20 arası,Yüksek Giriş,İkinci El,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,18.000
275,CADDEBOSTAN'DA 3 YILLIK YENİ 75M2 İŞYERİNE KONUTA LÜKS,Caddebostan,4.895.000,60,75,1+1,1,1,1,,3,1,İkinci El,Kombi (Doğalgaz),3,,
276,Dinamik'ten Caddebostan Sahil'de Sıfır Lüks 4+2 Dublex,Caddebostan,21.500.000,230,300,4+2,4,2,4,31,10-20 arası,12,,Klima,0,0,0
277,DİNAMİK'TEN GÖZTEPE'DE 3+1 ŞÖMİNELİ 150m2 ÇİFT BALKONLU SATILIK,Göztepe,6.650.000,120,150,3+1,3,1,2,21,6,6,İkinci El,Merkezi Sistem,26-30 arası,,
278,DİNAMİK'TEN ERENKÖY'DE 3+1 165m2 ÇİFT BALKONLU SATILIK DAİRE,Erenköy,7.395.000,130,165,3+1,3,1,2,23,8,2,İkinci El,Merkezi Sistem,26-30 arası,,
279,Suadiye'de 130 m2 3+1 Sıfır Satılık Daire,Suadiye,9.150.000,110,130,3+1,3,1,2,25,10,4,Sıfır,Kombi (Doğalgaz),4,0,0
280,Moda Mühürdar caddesinde denize yakın 4 yıllık satılık daire,Caferağa,7.000.000,120,140,3+1,3,1,2,14,7,Kot 1,İkinci El,Kombi (Doğalgaz),4,150,15.000
281,Bostancı Emin Ali Paşa Cd. Kat Mülkiyetli İçi Yapılı 190m2 3+1,Bostancı,6.280.000,145,190,3+1,3,1,1,34,9,2,İkinci El,Kombi (Doğalgaz),26-30 arası,500,18.000
282,BOSTANCI DEPREM SONRASI 2002 YAPIMI175 M²  3+1 LÜKS DAİRE,Bostancı,6.450.000,155,175,3+1,3,1,2,29,10-20 arası,6,İkinci El,Kombi (Doğalgaz),16-20 arası,300,
283,TURYAP TAN KADIKÖY DE DENİZ MANZARALI 2+1 FIRSAT SATILIK DAİRE,Caferağa,2.950.000,75,100,2+1,2,1,1,31,4,4,İkinci El,Kombi (Doğalgaz),31-35 arası,50,0
284,TURYAP GÖZTEPE DEN ACIBADEM DE 3+1 SATILIK DAİRE,Acıbadem,5.500.000,105,140,3+1,3,1,2,31,4,1,İkinci El,Merkezi Sistem,31-35 arası,0,0
285,FENER KALAMIŞ CADDESİ BÜYÜK FENERBAHÇE AP.DENİZ MANZARALI DAİRE,Fenerbahçe,15.750.000,121,155,3+1,3,1,2,36,10-20 arası,8,İkinci El,Klima,26-30 arası,1.750,30.000
286,GÖZTEPE MARMARAYA YAKIN 125M2 BALKONLU EBEVEYN BANYOLU LÜKS,Göztepe,7.400.000,95,125,3+1,3,1,2,21,7,3,Sıfır,Kombi (Doğalgaz),0,,
287,C.BOSTAN'DA 220M2 GENÇ BİNADA 50M2 SALONLU BALKONLU ULTRA LÜKS,Caddebostan,11.750.000,170,220,4+1,4,1,2,25,7,1,İkinci El,Kombi (Doğalgaz),21-25 arası,,
288,SUADİYE EMİNALİPAŞA'DA 7 YILLIK İSKANLI 2.KAT 140m2 SATILIK 3+1,Suadiye,7.250.000,120,140,3+1,3,1,2,31,7,2,İkinci El,Kombi (Doğalgaz),6-10 arası,300,23.000
289,WEN CADDEDEN FENERBAHÇEDE 2 BALKONLU SIFIR YENİ BİNA SATILIK 3+1,Fenerbahçe,7.550.000,110,145,3+1,3,1,2,30,10-20 arası,8,,Klima,0,0,0
290,KW SİNAN'DAN KALAMIŞ SAHİL PARSELİNDE MANZARALI SATILIK DAİRE,Fenerbahçe,21.000.000,277,340,6+1,6,1,3,16,3,3,İkinci El,Kombi (Doğalgaz),26-30 arası,,
291,Kızıltoprak Bağdat Caddesi 2. Bina Sıfır Balkonlu,Feneryolu,8.100.000,90,130,3+1,3,1,2,15,10-20 arası,6,Sıfır,Kombi (Doğalgaz),0,0,0
292,Çiftehavuzlar 18 Mart'a Yakın 3+1 Yeni Binada Satılık Daire,Fenerbahçe,8.800.000,105,140,3+1,3,1,2,22,10-20 arası,2,İkinci El,Merkezi Sistem (Isı Payı Ölçer),3,0,0
293,SAHRAYICEDİT HİLTON ARKASINDA SATILIK FIRSAT 3+1 DAİRE,Sahrayı Cedit,5.800.000,90,120,3+1,3,1,2,25,10-20 arası,7,Sıfır,Merkezi Sistem (Isı Payı Ölçer),4,350,
294,BAĞDAT CADDESİ PARALELİNDE GENÇ BİNADA 3+1 BAKIMLI DAİRE,Erenköy,9.900.000,100,128,3+1,3,1,2,30,9,2,,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,
295,ŞAŞKINBAKKAL KIZILKAYALAR ARKASI 2+1 KONUT VE İŞYERİNE UYGUN,Suadiye,5.695.000,80,100,2+1,2,1,2,36,4,Kot 2,İkinci El,Kombi (Doğalgaz),31-35 arası,,
296,Fenerbahçe'de Sütişe Kahve Dünyasına Yakın Teraslı Dubleks,Fenerbahçe,14.000.000,190,230,5+1,5,1,2,7,8,8,İkinci El,Kombi (Doğalgaz),4,0,0
297,LANSMANA ÖZEL! GÖZTEPE ÇEMENZAR'DA İNŞAATTAN SATILIK 3+1 DAİRE,Merdivenköy,6.050.000,85,115,3+1,3,1,1,,8,5,Yapım Aşamasında,Kombi (Doğalgaz),0,0,0
298,SATILIK GÖZTEPE DENİZCİLER RECİDENCE 3+1,Göztepe,9.800.000,115,150,3+1,3,1,2,16,10-20 arası,5,İkinci El,Merkezi Sistem (Isı Payı Ölçer),11-15 arası,,
299,GÖZTEPE CADDE PARALELİ YENİ BİNADA 3+1 SATILIK DAİRE,Göztepe,7.700.000,90,120,3+1,3,1,2,32,10,6,Sıfır,Klima,0,0,0
300,ACIBADEM SİTESİNDE 6+1 DUBLEX DAİRE,Acıbadem,7.700.000,170,195,6+1,6,1,3,28,3,3,,Merkezi Sistem,26-30 arası,900,0
301,CENTURY 21.SAHRA'DAN MİN.CADDESİ ÜZERİNDE İÇİ YAPILI 3+1,Bostancı,5.950.000,110,140,3+1,3,1,2,20,8,7,,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,0,0
302,CENTURY 21.SAHRA'DAN E5 İLE MİNİBÜS ARASINDA İÇİ YAPIL 3+1 130M2,Bostancı,3.950.000,130,145,3+1,3,1,2,20,7,2,,Kombi (Doğalgaz),21-25 arası,0,0
303,Ziverbey Minibüs Yoluna Cephe 4+2 230 m2 geniş daire,Feneryolu,7.250.000,170,230,4+2,4,2,1,31,8,2,,Merkezi Sistem,16-20 arası,0,0
304,MERDİVENKÖY DE SATILIK ARA KAT DAİRE!!,Merdivenköy,2.975.000,110,130,3+1,3,1,1,24,6,1,,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,0,0
305,CENTURY 21.SAHRA'DAN ŞENESENEVLER'DE İÇİ YAPILI 3+1,Bostancı,4.450.000,110,135,3+1,3,1,1,17,7,3,,Klima,26-30 arası,0,0
306,SUADİYE SAHİLE 2 ADIM MESAFEDE 130M2 AYRICA 100M2 BAHÇELİ LÜKS,Suadiye,9.250.000,100,130,3+1,3,1,2,16,3,,İkinci El,Merkezi Sistem,36-40 arası,,
307,Caddebostan M.Reşitbelgesay sokak arsa payı yüksek şömineli 4+1,Caddebostan,9.500.000,135,165,4+1,4,1,2,27,4,4,İkinci El,Klima,31-35 arası,400,12.000
308,BOSTANCI ŞENESENEVLER'DE MİNİBÜSE ve METROYA YAKIN 2+1YENİ DAİRE,Bostancı,4.950.000,72,90,2+1,2,1,1,35,9,2,Yapım Aşamasında,Merkezi Sistem,0,,18.000
309,Suadiye Yüzme Havuzlu Yatırımlı Binada 4+1 Masrafsız Daire,Suadiye,14.750.000,160,200,4+1,4,1,2,26,10,2,İkinci El,Merkezi Sistem,31-35 arası,0,0
310,C.BOSTAN SAHİLDE YENİ KAPANMAZ DENİZ MANZARALI TERASLI DUBLEKS,Caddebostan,24.750.000,253,330,5+2,5,2,3,28,10-20 arası,12,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,,
311,NAUTILUS AVM KARŞISI GİRİŞKAT İÇERİSİ YAPILI 2+1 95m² DAİRE,Koşuyolu,3.250.000,90,95,2+1,2,1,1,22,4,Yüksek Giriş,,Kombi (Doğalgaz),21-25 arası,150,0
312,FENERYOLUN'DA MARMARAYA YAKIN 115 M2 3+1 BAHÇE KATI İÇİ YAPILI Y,Feneryolu,2.695.000,95,115,3+1,3,1,1,17,3,Bahçe katı,İkinci El,Kombi (Doğalgaz),36-40 arası,0,0
313,KADIKÖY'DE SATILIK 2+1 DAİRE,Rasimpaşa,2.500.000,80,85,2+1,2,1,1,15,,1,İkinci El,Kombi (Doğalgaz),31-35 arası,,
314,GÖZTEPE ÖZGÜRLÜK PARKINA YAKIN KİRACILI 3+1 KOMBİLİ DAİRE.,Göztepe,3.600.000,110,125,3+1,3,1,1,11,4,3,İkinci El,Kombi (Doğalgaz),40 ve üzeri,50,
315,Fenerbahçe Dalyan Yüzme Havuzlu Güvenlikli Teraslı Dubleks,Fenerbahçe,18.000.000,180,220,4+1,4,1,2,8,7,7,Sıfır,Kombi (Doğalgaz),0,0,0
316,Fenerbahçe Cemiltopuzlu Dalyan Denize Yakın Satılık,Fenerbahçe,8.900.000,98,130,2+1,2,1,1,4,7,1,İkinci El,Kombi (Doğalgaz),4,0,0
317,ERENKÖY BAĞDATA YAKIN SIFIR 160M2 MANZARALI GÜVENLİKLİ BALKONLU,Erenköy,12.000.000,124,160,3+1,3,1,2,27,10-20 arası,12,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,,
318,ŞAŞKINBAKKAL SAHİLDE DENİZ KENARI 170 M2 DAİRE,Caddebostan,8.000.000,145,170,3+1,3,1,2,,3,1,İkinci El,Merkezi Sistem,31-35 arası,,
319,BOSTANCI SAHİLİNDE KESİNTİSİZ LEBİDERYA MANZARALI 330 M2 DAİRE,Bostancı,21.000.000,281,330,6+1,6,1,2,,7,6,İkinci El,Merkezi Sistem,26-30 arası,1.300,
320,ŞAŞKIN BAKKAL SAHİLDE KATTA TEK SIFIR NET 94 m2 SATILIK 2+1!!,Caddebostan,7.450.000,94,130,2+1,2,1,2,11,10-20 arası,1,Yapım Aşamasında,Kombi (Doğalgaz),0,,
321,MERDİVENKÖY DE SATILIK ARA KAT DAİRE!!,Merdivenköy,2.975.000,110,130,3+1,3,1,1,24,6,1,İkinci El,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,0,0
322,"SUADİYE KAZIM ÖZALP SOKAKTA, SAHİLE 100 METRE SATILIK 3+1 ARAKAT",Suadiye,17.500.000,175,200,3+1,3,1,2,35,3,1,,Klima,21-25 arası,0,0
323,Suadiye Bağdat Caddesine Yakın Balkonlu 3+1 Sıfır Daire,Suadiye,10.500.000,117,145,3+1,3,1,2,21,8,6,Sıfır,Kombi (Doğalgaz),0,0,0
324,Ç.HAVUZLAR BAĞDATA YAKIN 4 YILLIK 150M2 LÜKS,Göztepe,9.900.000,117,150,3+1,3,1,2,21,10,1,İkinci El,Kombi (Doğalgaz),4,,
325,ERENKÖY MARMARAYA YAKIN SIFIR 125M2 ULTRA LÜKS,Erenköy,5.950.000,90,125,3+1,3,1,2,27,9,Yüksek Giriş,Sıfır,Merkezi Sistem (Isı Payı Ölçer),3,,
326,ALKAYA- SUADİYE ŞAŞKINDA SATILIK 105M² NET 3+1 BALKONLU DAİRE,Suadiye,3.690.000,105,130,3+1,3,1,2,21,5,2,,Kombi (Doğalgaz),31-35 arası,0,0
327,GÖZTEPE'DE 4 YILLIK 125M2 FERAH ÖNÜ AÇIK LÜKS DAİRE,Göztepe,6.650.000,90,125,3+1,3,1,1,18,10,9,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,,
328,Fenerbahçe Dalyan Lebiderya Manzaralı Dubleks Daire,Fenerbahçe,21.950.000,197,260,4+2,4,2,3,12,10-20 arası,13,İkinci El,Merkezi Sistem (Isı Payı Ölçer),2,0,0
329,GÖZTEPE PARK APARTMANINDA 180 M2 SATILIK DAİRE P100852,Göztepe,9.650.000,150,180,4+1,4,1,2,17,10-20 arası,8,İkinci El,Kombi (Doğalgaz),21-25 arası,0,0
330,ALKAYA YETKİLİ -SUADİYE'DE BAĞDAT'A ÇOK YAKIN 2+1 SATILIK DAİRE,Suadiye,5.100.000,70,90,2+1,2,1,2,17,8,2,Sıfır,Kombi (Doğalgaz),3,,15.000
331,ACIBADEM CAD.1.PARALEL 2.BİNA TUR SK 2+185m²ARAKAT GÜNEY DAİRE,Acıbadem,3.400.000,80,85,2+1,2,1,1,30,4,2,,Kombi (Doğalgaz),31-35 arası,100,0
332,AKAY DAN ACIBADEM CAD.100mMESAFEDE YAPILI 2+1 75m²Y.GİRİŞ DAİRE,Acıbadem,2.450.000,70,75,2+1,2,1,1,21,4,Yüksek Giriş,,Kombi (Doğalgaz),26-30 arası,50,0
333,ACIBADEM İŞBANKASI BLOKLARINDA cad.üzeri 1+1 79m²ŞAHANE KONUM,Acıbadem,3.800.000,70,79,1+1,1,1,1,7,4,Yüksek Giriş,,Merkezi Sistem (Isı Payı Ölçer),16-20 arası,365,0
334,Fenerbahçe Ordu Evine 4. Bina Balkonlu Prestijli Bina,Fenerbahçe,15.000.000,120,160,3+1,3,1,2,21,10-20 arası,7,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,0,0
335,Ş.BAKKAL BAĞDATA 2. BİNADA 100M2 BALKONLU KOMBİLİ LÜKS,Suadiye,5.695.000,80,100,2+1,2,1,2,22,4,2,İkinci El,Kombi (Doğalgaz),40 ve üzeri,,
336,Kızıltoprakta Katta Tek 4+1 Kobili Daire,Zühtüpaşa,9.800.000,128,175,4+1,4,1,2,16,9,8,İkinci El,Kombi (Doğalgaz),6-10 arası,0,0
337,FENERYOLU ÖZGÜRLÜK PARKINA YÜRÜME MESAFESİNDE 3+1 SATILIK DAİRE,Feneryolu,5.450.000,120,140,3+1,3,1,2,21,,,,,,,
338,Caddebostan Sahil Göztepe Parkına Plaj Yoluna Yakın 3+1,Caddebostan,9.400.000,100,130,3+1,3,1,2,13,8,3,İkinci El,Kombi (Doğalgaz),3,0,0
339,Hasanpaşa'da Kadıköy Merkeze Yakın 2+1 Satılık Daire,Hasanpaşa,2.400.000,75,95,2+1,2,1,1,21,2,2,İkinci El,Kombi (Doğalgaz),31-35 arası,0,0
340,Feneryolu Kombili Balkonlu 3+1 Satılık Daire,Feneryolu,4.950.000,110,135,3+1,3,1,1,7,8,3,İkinci El,Kombi (Doğalgaz),21-25 arası,0,0
341,Feneryolu Kamelya Marmaray İstasyonuna Yakın Balkonlu Yenilenmiş,Feneryolu,6.550.000,128,160,4+1,4,1,2,22,10-20 arası,9,İkinci El,Merkezi Sistem,26-30 arası,0,0
342,ACIBADEM DÖRTYOLDA MARMARAYIN YANINDA 2+1 85m²GİRİŞKAT DAİRE,Acıbadem,2.300.000,80,85,2+1,2,1,1,11,5,Giriş Katı,,Kombi (Doğalgaz),31-35 arası,50,0
343,Kadiköy Bağdad Caddesin'de1+1 Lüks daire فروشی لاکچری جاده بغداد,Fenerbahçe,6.000.000,50,55,1+1,1,1,1,2,4,3,Sıfır,Kombi (Doğalgaz),0,,12.000
344,BOSTANCI CİTY'DE 8.KAT VATANDAŞLIĞA UYGUN 105m2 SATILIK 2+1,Bostancı,6.000.000,90,105,2+1,2,1,1,31,8,8,,Kombi (Doğalgaz),11-15 arası,1.120,7.000
345,GÖZTEPE HASTANEYE ADIM MESAFEDE 2 BALKONLU KOMBİLİ 154M2 3+1,Merdivenköy,4.020.000,110,154,3+1,3,1,2,15,6,1,İkinci El,Kombi (Doğalgaz),31-35 arası,120,0
346,ERENKÖY'DE DİNAMİK'TEN YENİ BİNADA 4+1 200 M2 GENİŞ BALKONLU,Erenköy,5.850.000,145,200,4+1,4,1,2,31,10-20 arası,10,,Klima,4,0,0
347,Fenerbahçe Kalamış Marina ve Doğa Manzaralı Balkonlu 4+1,Fenerbahçe,16.750.000,142,190,4+1,4,1,2,26,10-20 arası,5,İkinci El,Merkezi Sistem (Isı Payı Ölçer),3,0,0
348,ŞAŞKINBAKKAL SAHİLDE 4 YILLIK DENİZ MANZARALI LÜKS,Suadiye,13.950.000,105,135,3+1,3,1,2,31,8,4,İkinci El,Kalorifer (Doğalgaz),4,,
349,CITY TEK YETKİLİ FENERYOLU ÖZGÜRLÜĞE KOMŞU KATTA TEK 168M2 3+1,Feneryolu,5.650.000,120,168,3+1,3,1,2,34,8,1,İkinci El,Klima,26-30 arası,0,0
350,CİTY'DEN SUADİYEDE METROYA YAKIN BALKONLU  SIFIR 2+1,Suadiye,7.450.000,85,115,2+1,2,1,2,19,10-20 arası,9,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,0,0
351,CİTYDEN..ERENKÖY ETHEMEFENDİDE 155M2 3+1 BALKONLU YENİ BİNA,Erenköy,11.000.000,115,155,3+1,3,1,2,15,7,6,Sıfır,Kombi (Doğalgaz),0,0,0
352,GÖZTEPE HASTANE YAKINI GÜNEY CEPHE ARA KAT YENİ BİNA 112M2 3+1,Dumlupınar,4.850.000,80,112,3+1,3,1,1,25,8,6,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,125,0
353,SUADİYE BAĞDAT CADDESİ ÜZERİNDE 130M2 3+1 2.KAT BALKONLU DAİRE,Bostancı,6.400.000,102,130,3+1,3,1,1,12,4,2,,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,0,0
354,CİTY TEK YETKİLİ..KOZYATAĞI SÜMKO SİTESİNDE 150M2 3+1 BAKIMLI,19 Mayıs,4.100.000,120,150,3+1,3,1,2,11,5,4,İkinci El,Merkezi Sistem,26-30 arası,0,0
355,Kalamış Bedri Rahmi Eyüpoğlu Sokak da yeni binada Satılık Daire,Fenerbahçe,16.000.000,175,240,3+1,3,1,2,18,10-20 arası,13,Sıfır,Kombi (Doğalgaz),0,,
356,"CADDEBOSTAN , BAĞDAT CADDESİNE YAKIN YENİ BİNA FIRSAT DUBLEKS",Göztepe,15.000.000,180,210,4+1,4,1,3,2,10,10,,Klima,0,0,0
357,BAĞDAT CAD.BEYMEN KARŞISINDA İSKANLI BALKONLU 2.KAT SATILIK 3+1,Bostancı,11.000.000,140,150,3+1,3,1,1,31,4,2,,Merkezi Sistem,31-35 arası,600,20.000
358,F.YOLU ÖZGÜRLÜK PARKINA YAKIN 170M2 KATTA TEK ULTRA LÜKS,Feneryolu,6.550.000,140,170,4+1,4,1,2,24,10-20 arası,9,İkinci El,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,,
359,SUADİYE BAĞDATA YAKIN YENİ SİTE İÇİNDE 110M2 GÜVENLİKLİ LÜKS,Suadiye,5.495.000,80,110,2+1,2,1,1,23,10,1,Sıfır,Kombi (Doğalgaz),2,,
360,SUADİYE BAĞDATA 3. BİNADA 170M2 2 BALKONLU ULTRA LÜKS,Suadiye,9.950.000,140,170,4+1,4,1,2,24,6,5,İkinci El,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,,
361,CİTY DEN CADDEBOSTAN DA GÖZTEPE PARKINA 3.BİNADA SÜPER 185m2 4+1,Caddebostan,10.250.000,150,185,4+1,4,1,2,28,7,1,İkinci El,Merkezi Sistem,26-30 arası,0,0
362,KUYUBAŞI'NDA 170M2 2 BALKONLU ASANSÖRLÜ OTOPARKLI,Feneryolu,4.500.000,135,170,3+1,3,1,2,19,7,6,İkinci El,Merkezi Sistem,31-35 arası,,
363,HASANPAŞA DA 2+1 SATILIK FIRSAT DAİRE,Hasanpaşa,1.830.000,75,80,2+1,2,1,1,6,5,3,,Kombi (Doğalgaz),26-30 arası,50,0
364,C.BOSTAN SAHİLDE 4 YILLIK YENİ  105M2 2 BALKONLU LÜKS,Caddebostan,8.500.000,80,105,2+1,2,1,1,18,9,5,İkinci El,Kombi (Doğalgaz),4,,
365,KAZASKER MİNİBÜSE 3. BİNADA 110M2 BALKONLU LÜKS DAİRE,19 Mayıs,3.550.000,90,110,3+1,3,1,2,16,4,2,İkinci El,,40 ve üzeri,,
366,ERENKÖY BAĞDATA YAKIN 7 YILLIK 120M2 BALKONLU LÜKS,Erenköy,7.200.000,90,120,3+1,3,1,2,15,7,2,İkinci El,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,
367,REMAX OPTİMA'DAN VATANDAŞLIĞA UYGUN 4+1 190m2 MUHTEŞEM MANZARA..,19 Mayıs,8.990.000,165,190,4+1,4,1,2,13,8,5,,Kombi (Doğalgaz),16-20 arası,0,0
368,Fenerbahçe Sahil Caddesi Balkonlu Deniz ve Doğa Manzaralı,Fenerbahçe,19.000.000,120,155,3+1,3,1,2,26,8,5,Sıfır,Yerden Isıtma,0,0,0
369,Kadıköy Eğitim Mah Postane Sokak Daire 2+1 Satılık,Eğitim,2.800.000,70,90,2+1,2,1,1,21,3,1,İkinci El,Kombi (Doğalgaz),16-20 arası,,
370,KADIKÖY CADDEBOSTAN'DA YATIRIM DEĞERİ YÜKSEK 3+1 SATILIK DAİRE,Caddebostan,7.650.000,115,135,3+1,3,1,1,12,3,2,,Kalorifer (Doğalgaz),40 ve üzeri,,
371,MODA EMİN ONAT SOKAKTA EŞSİZ KONUMDA 3+1 140 M2 DAİRE,Caferağa,8.400.000,120,140,3+1,3,1,1,32,4,2,İkinci El,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,0,0
372,ERENKÖY'DE MARMARAYA YAKIN 3 YILLIK 135M2 LÜKS,Erenköy,5.950.000,105,135,3+1,3,1,1,6,9,6,İkinci El,Kombi (Doğalgaz),3,,
373,CİTY DEN ERENKÖY DE ÇEVRE KOLEJİNE KOMŞU MASRAFSIZ 175m2 3+1,Erenköy,5.950.000,130,175,3+1,3,1,2,24,10,5,İkinci El,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,0,0
374,CİTY DEN GÖZTEPE DE MARMARAYA KOMŞU SIFIR 135m2 3+1,Göztepe,7.400.000,95,135,3+1,3,1,2,24,7,3,Sıfır,Kombi (Doğalgaz),0,0,0
375,CİTY DEN ERENKÖY DE YEŞİLLİKLER İÇİNDE KATTA TEK 210m2 4+1,Erenköy,8.595.000,150,210,4+1,4,1,2,34,8,5,İkinci El,Merkezi Sistem,26-30 arası,0,0
376,CİTY DEN SUADİYE DE MERKEZİ KONUMDA KATTA TEK 145m2 3+1,Suadiye,6.750.000,107,145,3+1,3,1,2,22,10,9,İkinci El,Kombi (Doğalgaz),21-25 arası,0,0
377,CİTY DEN KOZYATAĞINDA ACIBADEM HAST. KOMŞU KATTA TEK 175m2 3+1,19 Mayıs,7.650.000,125,175,3+1,3,1,3,34,7,4,İkinci El,Kombi (Doğalgaz),16-20 arası,0,0
378,CADDEBOSTAN SAHİL VE BAĞDAT ARASI 3 BALKONLU FIRSAT 3+1 161M2,Caddebostan,6.950.000,105,147,3+1,3,1,2,26,6,3,İkinci El,Merkezi Sistem,31-35 arası,0,0
379,SUADİYE BAĞDATA 2.BİNA ULTRA LÜKS BALKONLU EBEVEYNLİ 196M2 4+1,Suadiye,9.950.000,140,196,4+1,4,1,2,30,7,5,İkinci El,Merkezi Sistem,26-30 arası,0,0
380,ERENKÖY MARMARAY VE BAĞDATA ADIM MESAFEDE YENİ 126M2 3+1,Erenköy,5.950.000,90,126,3+1,3,1,1,21,9,Yüksek Giriş,İkinci El,Merkezi Sistem (Isı Payı Ölçer),3,0,0
381,"ERENKÖY,ÖMERPAŞA CD.BAĞDAT'A YAKIN,GENİŞ,SIFIR,BALKON,160M2,4+1",Erenköy,13.500.000,125,160,4+1,4,1,2,34,7,2,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,,
382,CADDEBOSTAN BAĞDATA ADIM MESAFEDE SIFIR BİNADA 137M2 3+1,Göztepe,9.200.000,98,137,3+1,3,1,2,29,10,8,Sıfır,Yerden Isıtma,0,0,0
383,"GÖZTEPE'DE,MERKEZİ KONUMDA,SIFIR,EBEVEYN BANYOLU,116M2,2+1",Merdivenköy,5.750.000,83,116,2+1,2,1,2,24,10-20 arası,10,Sıfır,Kalorifer (Doğalgaz),0,,
384,FENERBAHÇE SAHİLDE BUTİK BİNADA CADDE ÜZERİ BALKONLU 119M2 2+1,Fenerbahçe,6.295.000,85,119,2+1,2,1,1,24,4,3,İkinci El,Kombi (Doğalgaz),31-35 arası,0,0
385,"TEKYETKİLİ,FENERYOLU BAĞDATA 2. SOK, 260M2, 3+2,DUBLEKS, 6 YILLI",Feneryolu,12.000.000,200,260,3+2,3,2,3,31,8,8,,Kombi (Doğalgaz),6-10 arası,,
386,FENERYOLU ÖZGÜRLÜK PARKINA KOMŞU EBEVEYNLİ SIFIR 120M2 3+1,Feneryolu,7.350.000,86,120,3+1,3,1,2,19,10-20 arası,10,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,0,0
387,FENERYOLU ÖZGÜRLÜĞE KOMŞU BALKONLU EBEVEYNLİ 120M2 3+1,Feneryolu,6.850.000,86,120,3+1,3,1,2,18,10-20 arası,Yüksek Giriş,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,0,0
388,CADDEBOSTAN BAĞDATA ADIM MESAFEDE BALKONLU EBEVEYNLİ SIFIR 140M2,Göztepe,8.450.000,100,140,3+1,3,1,3,18,10-20 arası,8,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,,
389,ZİVERBEY MİNİBÜS ÜZERİ BALKONLU DEPREM RAPORLU 175M2 3+1,Feneryolu,5.950.000,125,175,3+1,3,1,1,27,10-20 arası,7,İkinci El,Merkezi Sistem,26-30 arası,0,0
