,İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI,BİNA KAT SAYISI,BULUNDUĞU KAT,YAPI DURUMU,ISITMA,BİNA YAŞI,AİDAT,KİRA GETİRİSİ
57,ERENKÖY'DE GELECEĞİNİZE YATIRIM YAPIN,Erenköy,9.000.000,140,160,3+1,3,1,1,23,10-20 arası,13,İkinci El,Merkezi Sistem,31-35 arası,,
58,Fenerbahçe Kalamış Marina Lebiderya Manzaralı 4+1,Fenerbahçe,25.000.000,175,241,4+1,4,1,2,25,10-20 arası,7,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,0,0
59,SUADİYE KAPTAN ARİF SOKAKTA SİTE ÖZELLİKLİ 165 M2 DAİRE,Suadiye,10.000.000,135,165,4+1,4,1,2,3,10-20 arası,3,İkinci El,,5,900,
60,Bağdat Cad. Çok Yakın Güvenlik Binada Satılık Daire,Suadiye,12.800.000,180,190,4+1,4,1,2,10,10-20 arası,6,,Merkezi Sistem (Isı Payı Ölçer),11-15 arası,0,0
61,TEK YETKİLİYİZ.CENTURY 21.SAHRA'DAN 5 YILLIK BİNADA 105M2NET 3+1,Kozyatağı,7.650.000,105,136,3+1,3,1,3,34,10,7,İkinci El,Merkezi Sistem (Isı Payı Ölçer),5,470,17.000
62,Fenerbahçe Yeni Binada 3+2 Dubleks Satılık Daire,Fenerbahçe,18.400.000,200,240,3+2,3,2,3,39,8,8,,Klima,4,0,0
63,TURYAP GÖZTEPE DEN BOSTANCI GÖSTERİ MERKEZİ 3+1 SATILIK DAİRE,Bostancı,5.550.000,95,130,3+1,3,1,1,31,10-20 arası,3,İkinci El,Kombi (Doğalgaz),4,0,0
64,ÇİFTEHAVUZLAR'DA 155M2 GÜVENLİKLİ 3 BALKONLU ULTRA LÜKS,Göztepe,8.275.000,120,155,3+1,3,1,2,12,10-20 arası,4,İkinci El,Merkezi Sistem,31-35 arası,,
65,KOZYATAĞINDA SAKİN SOKAKTA BAKIMLI 2.KAT KOMBİLİ 3+1 DAİRE,Kozyatağı,3.950.000,110,135,3+1,3,1,1,34,8,2,İkinci El,Kombi (Doğalgaz),31-35 arası,,
66,KALAMIŞ WYNDHAM OTELE YAKIN SIFIR 135M2 2 BALKONLU LÜKS,Fenerbahçe,10.800.000,105,130,3+1,3,1,2,22,10,1,Sıfır,Kombi (Doğalgaz),0,,
